# DRON 
7.00303 -14.8197 25 
32.9878 0.17339 25 
12.997 34.8197 25 
-12.9878 19.8266 25 
7.00303 -14.8197 25 
7.00303 -14.8197 55 
32.9878 0.17339 55 
12.997 34.8197 55 
-12.9878 19.8266 55 
7.00303 -14.8197 55 
32.9878 0.17339 55 
32.9878 0.17339 25 
12.997 34.8197 25 
12.997 34.8197 55 
-12.9878 19.8266 55 
-12.9878 19.8266 25 

 # 
16.3315 -20.9824 40 
16.3315 -20.9824 50 
11.3338 -12.3209 50 
11.3338 -12.3209 40 
16.3315 -20.9824 40 
23.8327 -16.6543 45 
18.835 -7.99273 45 
11.3338 -12.3209 40 
16.3315 -20.9824 40 
23.8327 -16.6543 35 
18.835 -7.99273 35 
11.3338 -12.3209 40 
16.3315 -20.9824 40 
16.3315 -20.9824 30 
11.3338 -12.3209 30 
11.3338 -12.3209 40 
16.3315 -20.9824 40 
8.83038 -25.3106 35 
3.83268 -16.649 35 
11.3338 -12.3209 40 
16.3315 -20.9824 40 
8.83038 -25.3106 45 
3.83268 -16.649 45 
11.3338 -12.3209 40 
16.3315 -20.9824 40 
16.3315 -20.9824 50 
11.3338 -12.3209 50 
11.3338 -12.3209 40 

 # 
33.6547 -10.987 40 
33.6547 -10.987 50 
28.657 -2.32546 50 
28.657 -2.32546 40 
33.6547 -10.987 40 
41.1558 -6.65891 45 
36.1581 2.00267 45 
28.657 -2.32546 40 
33.6547 -10.987 40 
41.1558 -6.65891 35 
36.1581 2.00267 35 
28.657 -2.32546 40 
33.6547 -10.987 40 
33.6547 -10.987 30 
28.657 -2.32546 30 
28.657 -2.32546 40 
33.6547 -10.987 40 
26.1535 -15.3152 35 
21.1558 -6.65359 35 
28.657 -2.32546 40 
33.6547 -10.987 40 
26.1535 -15.3152 45 
21.1558 -6.65359 45 
28.657 -2.32546 40 
33.6547 -10.987 40 
33.6547 -10.987 50 
28.657 -2.32546 50 
28.657 -2.32546 40 

 # POWIERZCHNIA WODY 
-100 -100 100 
-100 -50 125 
-100 0 100 
-100 50 125 
-100 100 100 
-50 100 100 
-50 50 125 
-50 0 100 
-50 -50 125 
-50 -100 100 
-100 -100 100 
0 -100 100 
0 -50 125 
0 0 100 
0 50 125 
0 100 100 
-50 100 100 
50 100 100 
50 50 125 
50 0 100 
50 -50 125 
50 -100 100 
0 -100 100 
100 -100 100 
100 -50 125 
100 0 100 
100 50 125 
100 100 100 
50 100 100 

 # POWIERZCHNIA DNA 
-100 -100 0 
-100 100 0 
-50 100 0 
-50 -100 0 
0 -100 0 
0 100 0 
50 100 0 
50 -100 0 
100 -100 0 
100 100 0 
-100 100 0 
-100 -100 0 
100 -100 0 
100 -50 0 
-100 -50 0 
-100 0 0 
100 0 0 
100 50 0 
-100 50 0 
